filename,is_collembola
K1_Fe2O3001 (1)_obj1.png,False
K1_Fe2O3001 (1)_obj2.png,False
K1_Fe2O3001 (1)_obj3.png,False
K1_Fe2O3001 (1)_obj4.png,False
K1_Fe2O3001 (1)_obj5.png,False
K1_Fe2O3001 (1)_obj6.png,False
K1_Fe2O3001 (1)_obj7.png,False
K1_Fe2O3001 (1)_obj8.png,False
K1_Fe2O3001 (1)_obj9.png,False
K1_Fe2O3001 (1)_obj10.png,False
K1_Fe2O3001 (1)_obj11.png,False
K1_Fe2O3001 (1)_obj12.png,False
K1_Fe2O3001 (1)_obj13.png,False
K1_Fe2O3001 (1)_obj14.png,False
K1_Fe2O3001 (1)_obj15.png,False
K1_Fe2O3001 (1)_obj16.png,False
K1_Fe2O3001 (1)_obj17.png,False
K1_Fe2O3001 (1)_obj18.png,False
K1_Fe2O3001 (1)_obj19.png,False
K1_Fe2O3001 (1)_obj20.png,False
K1_Fe2O3001 (1)_obj21.png,False
K1_Fe2O3001 (1)_obj22.png,False
K1_Fe2O3001 (1)_obj23.png,False
K1_Fe2O3001 (1)_obj24.png,False
K1_Fe2O3001 (1)_obj25.png,False
K1_Fe2O3001 (1)_obj26.png,False
K1_Fe2O3001 (1)_obj27.png,False
K1_Fe2O3001 (1)_obj28.png,False
K1_Fe2O3001 (1)_obj29.png,True
K1_Fe2O3001 (1)_obj30.png,False
K1_Fe2O3001 (1)_obj31.png,False
K1_Fe2O3001 (1)_obj32.png,False
K1_Fe2O3001 (1)_obj33.png,False
K1_Fe2O3001 (1)_obj34.png,False
K1_Fe2O3001 (1)_obj35.png,False
K1_Fe2O3001 (1)_obj36.png,False
K1_Fe2O3001 (1)_obj37.png,False
K1_Fe2O3001 (1)_obj38.png,False
K1_Fe2O3001 (1)_obj39.png,False
K1_Fe2O3001 (1)_obj40.png,False
K1_Fe2O3001 (1)_obj41.png,False
K1_Fe2O3001 (1)_obj42.png,False
K1_Fe2O3001 (1)_obj43.png,False
K1_Fe2O3001 (1)_obj44.png,False
K1_Fe2O3001 (1)_obj45.png,False
K1_Fe2O3001 (1)_obj46.png,False
K1_Fe2O3001 (1)_obj47.png,False
K1_Fe2O3001 (1)_obj48.png,False
K1_Fe2O3001 (1)_obj49.png,True
K1_Fe2O3001 (1)_obj50.png,False
K1_Fe2O3001 (1)_obj51.png,False
K1_Fe2O3001 (1)_obj52.png,False
K1_Fe2O3001 (1)_obj53.png,False
K1_Fe2O3001 (1)_obj54.png,False
K1_Fe2O3001 (1)_obj55.png,True
K1_Fe2O3001 (1)_obj56.png,False
K1_Fe2O3001 (1)_obj57.png,False
K1_Fe2O3001 (1)_obj58.png,False
K1_Fe2O3001 (1)_obj59.png,False
K1_Fe2O3001 (1)_obj60.png,False
K1_Fe2O3001 (1)_obj61.png,False
K1_Fe2O3001 (1)_obj62.png,True
K1_Fe2O3001 (1)_obj63.png,False
K1_Fe2O3001 (1)_obj64.png,False
K1_Fe2O3001 (1)_obj65.png,False
K1_Fe2O3001 (1)_obj66.png,False
K1_Fe2O3001 (1)_obj67.png,False
K1_Fe2O3001 (1)_obj68.png,False
K1_Fe2O3001 (1)_obj69.png,False
K1_Fe2O3001 (1)_obj70.png,False
K1_Fe2O3001 (1)_obj71.png,True
K1_Fe2O3001 (1)_obj72.png,False
K1_Fe2O3001 (1)_obj73.png,False
K1_Fe2O3001 (1)_obj74.png,False
K1_Fe2O3001 (1)_obj75.png,False
K1_Fe2O3001 (1)_obj76.png,False
K1_Fe2O3001 (1)_obj77.png,False
K1_Fe2O3001 (1)_obj78.png,False
K1_Fe2O3001 (1)_obj79.png,False
K1_Fe2O3001 (1)_obj80.png,False
K1_Fe2O3001 (1)_obj81.png,False
K1_Fe2O3001 (1)_obj82.png,False
K1_Fe2O3001 (1)_obj83.png,False
K1_Fe2O3001 (1)_obj84.png,False
K1_Fe2O3001 (1)_obj85.png,False
K1_Fe2O3001 (1)_obj86.png,False
K1_Fe2O3001 (1)_obj87.png,False
K1_Fe2O3001 (1)_obj88.png,False
K1_Fe2O3001 (1)_obj89.png,False
K1_Fe2O3001 (1)_obj90.png,False
K1_Fe2O3001 (1)_obj91.png,False
K1_Fe2O3001 (1)_obj92.png,False
K1_Fe2O3001 (1)_obj93.png,False
K1_Fe2O3001 (1)_obj94.png,False
K1_Fe2O3001 (1)_obj95.png,False
K1_Fe2O3001 (1)_obj96.png,False
K1_Fe2O3001 (1)_obj97.png,False
K1_Fe2O3001 (1)_obj98.png,False
K1_Fe2O3001 (1)_obj99.png,False
K1_Fe2O3001 (1)_obj100.png,False
K1_Fe2O3001 (1)_obj101.png,False
K1_Fe2O3001 (1)_obj102.png,False
K1_Fe2O3001 (1)_obj103.png,False
K1_Fe2O3001 (1)_obj104.png,False
K1_Fe2O3001 (1)_obj105.png,False
K1_Fe2O3001 (1)_obj106.png,False
K1_Fe2O3001 (1)_obj107.png,False
K1_Fe2O3001 (1)_obj108.png,False
K1_Fe2O3001 (1)_obj109.png,False
K1_Fe2O3001 (1)_obj110.png,False
K1_Fe2O3001 (1)_obj111.png,False
K1_Fe2O3001 (1)_obj112.png,False
K1_Fe2O3001 (1)_obj113.png,False
K1_Fe2O3001 (1)_obj114.png,False
K1_Fe2O3001 (1)_obj115.png,False
K1_Fe2O3001 (1)_obj116.png,False
K1_Fe2O3001 (1)_obj117.png,False
K1_Fe2O3001 (1)_obj118.png,False
K1_Fe2O3001 (1)_obj119.png,False
