img_path,label
data/dataset_crops/detected_object_4960.jpg,0
data/crops/gt_positive/C5_2_Fe2O3003_c_676.jpg,1
data/dataset_crops/detected_object_846.jpg,0
data/dataset_crops/detected_object_6380.jpg,0
data/dataset_crops/detected_object_4763.jpg,0
data/dataset_crops/detected_object_4749.jpg,1
data/dataset_crops/detected_object_5509.jpg,0
data/dataset_crops/detected_object_5307.jpg,1
data/dataset_crops/detected_object_1081.jpg,1
data/dataset_crops/detected_object_2342.jpg,1
data/dataset_crops/detected_object_6106.jpg,0
data/dataset_crops/detected_object_1527.jpg,0
data/dataset_crops/detected_object_2749.jpg,1
data/crops/gt_positive/C5_2_Fe2O3003_c_144.jpg,1
data/crops/gt_positive/C5_2_Fe2O3003_c_404.jpg,1
data/dataset_crops/detected_object_2966.jpg,1
data/dataset_crops/detected_object_3161.jpg,1
data/crops/gt_positive/C5_2_Fe2O3003_c_480.jpg,1
data/dataset_crops/detected_object_2433.jpg,1
data/dataset_crops/detected_object_3057.jpg,1
data/crops/gt_positive/K1_Fe2O3001_c_386.jpg,1
data/dataset_crops/detected_object_797.jpg,0
data/dataset_crops/detected_object_4438.jpg,1
data/dataset_crops/detected_object_4050.jpg,0
data/dataset_crops/detected_object_1956.jpg,0
data/dataset_crops/detected_object_4871.jpg,1
data/dataset_crops/detected_object_3961.jpg,1
data/dataset_crops/detected_object_4002.jpg,0
data/dataset_crops/detected_object_1600.jpg,0
data/dataset_crops/detected_object_6688.jpg,0
data/crops/gt_positive/C5_2_Fe2O3003_c_899.jpg,1
data/crops/gt_positive/K1_Fe2O3001_c_047.jpg,1
data/dataset_crops/detected_object_1380.jpg,0
data/dataset_crops/detected_object_4225.jpg,1
data/crops/gt_positive/K1_Fe2O3001_c_192.jpg,1
data/dataset_crops/detected_object_4550.jpg,0
data/dataset_crops/detected_object_2358.jpg,1
data/dataset_crops/detected_object_2017.jpg,1
data/dataset_crops/detected_object_573.jpg,0
data/dataset_crops/detected_object_6276.jpg,0
data/dataset_crops/detected_object_2733.jpg,1
data/dataset_crops/detected_object_3070.jpg,1
data/dataset_crops/detected_object_4015.jpg,1
data/dataset_crops/detected_object_945.jpg,1
data/crops/gt_positive/K1_Fe2O3001_c_160.jpg,1
data/dataset_crops/detected_object_6293.jpg,0
data/dataset_crops/detected_object_597.jpg,0
data/dataset_crops/detected_object_5908.jpg,0
data/dataset_crops/detected_object_4454.jpg,1
data/dataset_crops/detected_object_4805.jpg,1
data/crops/gt_positive/C5_2_Fe2O3003_c_653.jpg,1
data/dataset_crops/detected_object_2601.jpg,0
data/dataset_crops/detected_object_2446.jpg,0
data/dataset_crops/detected_object_3581.jpg,0
data/dataset_crops/detected_object_3535.jpg,1
data/dataset_crops/detected_object_178.jpg,0
data/dataset_crops/detected_object_1124.jpg,0
data/dataset_crops/detected_object_3421.jpg,1
data/dataset_crops/detected_object_2304.jpg,0
data/dataset_crops/detected_object_1935.jpg,1
data/dataset_crops/detected_object_4958.jpg,0
data/crops/gt_positive/K1_Fe2O3001_c_380.jpg,1
data/dataset_crops/detected_object_2109.jpg,0
data/crops/gt_positive/C5_2_Fe2O3003_c_455.jpg,1
data/dataset_crops/detected_object_83.jpg,0
data/dataset_crops/detected_object_4378.jpg,1
data/dataset_crops/detected_object_5231.jpg,1
data/crops/gt_positive/K1_Fe2O3001_c_176.jpg,1
data/dataset_crops/detected_object_1357.jpg,0
data/dataset_crops/detected_object_6320.jpg,0
data/dataset_crops/detected_object_3615.jpg,1
data/crops/gt_positive/C5_2_Fe2O3003_c_835.jpg,1
data/crops/gt_positive/C5_2_Fe2O3003_c_502.jpg,1
data/crops/gt_positive/K1_Fe2O3001_c_115.jpg,1
data/dataset_crops/detected_object_5821.jpg,1
data/dataset_crops/detected_object_3457.jpg,1
data/dataset_crops/detected_object_4315.jpg,0
data/dataset_crops/detected_object_6650.jpg,0
data/dataset_crops/detected_object_850.jpg,1
data/dataset_crops/detected_object_3980.jpg,1
data/dataset_crops/detected_object_5861.jpg,0
