crop_id,collembola,rel_x,rel_y,collembola_centers_abs,collembola_centers_rel
data/dataset_crops/detected_object_0.jpg,False,0.28305149884704073,0,[],[]
data/dataset_crops/detected_object_1.jpg,False,0.15247886241352807,0,[],[]
data/dataset_crops/detected_object_2.jpg,False,0.7881437355880092,0,[],[]
data/dataset_crops/detected_object_3.jpg,False,0.06072252113758647,0,[],[]
data/dataset_crops/detected_object_4.jpg,False,0.7309761721752498,0,[],[]
data/dataset_crops/detected_object_5.jpg,False,0.6694850115295926,0,[],[]
data/dataset_crops/detected_object_6.jpg,False,0.7698885472713297,0,[],[]
data/dataset_crops/detected_object_7.jpg,False,0.71771714066103,0,[],[]
data/dataset_crops/detected_object_8.jpg,False,0.18024596464258263,0,[],[]
data/dataset_crops/detected_object_9.jpg,False,0.2720023059185242,0,[],[]
data/dataset_crops/detected_object_10.jpg,False,0.33877786318216757,0,[],[]
data/dataset_crops/detected_object_11.jpg,False,0.7491352805534205,0,[],[]
data/dataset_crops/detected_object_12.jpg,False,0.27507686395080705,0,[],[]
data/dataset_crops/detected_object_13.jpg,False,0.060338201383551116,0,[],[]
data/dataset_crops/detected_object_14.jpg,False,0.7194465795541891,0,[],[]
data/dataset_crops/detected_object_15.jpg,False,0.7674865488086088,0,[],[]
data/dataset_crops/detected_object_16.jpg,False,0.9166986933128363,0,[],[]
data/dataset_crops/detected_object_17.jpg,False,0.694369715603382,0,[],[]
data/dataset_crops/detected_object_18.jpg,False,0.7724827056110684,0,[],[]
data/dataset_crops/detected_object_19.jpg,False,0.08445426594926979,0,[],[]
data/dataset_crops/detected_object_20.jpg,False,0.2769984627209839,0,[],[]
data/dataset_crops/detected_object_21.jpg,False,0.7912182936202921,0,[],[]
data/dataset_crops/detected_object_22.jpg,False,0.1533435818601076,0,[],[]
data/dataset_crops/detected_object_23.jpg,False,0.7507686395080707,0,[],[]
data/dataset_crops/detected_object_24.jpg,False,0.8186971560338201,0,[],[]
data/dataset_crops/detected_object_25.jpg,False,0.857033051498847,0,[],[]
data/dataset_crops/detected_object_26.jpg,False,0.6692928516525749,0,[],[]
data/dataset_crops/detected_object_27.jpg,False,0.2582628747117602,0,[],[]
data/dataset_crops/detected_object_28.jpg,True,0.5759992313604919,0,"[[6243.5, 257.0]]","[[0.4853515625, 0.94140625]]"
data/dataset_crops/detected_object_29.jpg,False,0.9489815526518063,0,[],[]
data/dataset_crops/detected_object_30.jpg,False,0.7736356648731745,0,[],[]
data/dataset_crops/detected_object_31.jpg,False,0.019408147578785548,0,[],[]
data/dataset_crops/detected_object_32.jpg,False,0.0419869331283628,0,[],[]
