crop_id,collembola
data/dataset_crops/detected_object_0.jpg,False
data/dataset_crops/detected_object_1.jpg,False
data/dataset_crops/detected_object_2.jpg,False
data/dataset_crops/detected_object_3.jpg,False
data/dataset_crops/detected_object_4.jpg,False
data/dataset_crops/detected_object_5.jpg,False
data/dataset_crops/detected_object_6.jpg,False
data/dataset_crops/detected_object_7.jpg,False
data/dataset_crops/detected_object_8.jpg,False
data/dataset_crops/detected_object_9.jpg,False
data/dataset_crops/detected_object_10.jpg,False
data/dataset_crops/detected_object_11.jpg,False
data/dataset_crops/detected_object_12.jpg,False
data/dataset_crops/detected_object_13.jpg,False
data/dataset_crops/detected_object_14.jpg,False
data/dataset_crops/detected_object_15.jpg,False
data/dataset_crops/detected_object_16.jpg,False
data/dataset_crops/detected_object_17.jpg,False
data/dataset_crops/detected_object_18.jpg,False
data/dataset_crops/detected_object_19.jpg,False
data/dataset_crops/detected_object_20.jpg,False
data/dataset_crops/detected_object_21.jpg,False
data/dataset_crops/detected_object_22.jpg,False
data/dataset_crops/detected_object_23.jpg,False
data/dataset_crops/detected_object_24.jpg,False
data/dataset_crops/detected_object_25.jpg,False
data/dataset_crops/detected_object_26.jpg,False
data/dataset_crops/detected_object_27.jpg,False
data/dataset_crops/detected_object_28.jpg,True
data/dataset_crops/detected_object_29.jpg,False
data/dataset_crops/detected_object_30.jpg,False
data/dataset_crops/detected_object_31.jpg,False
data/dataset_crops/detected_object_32.jpg,False
data/dataset_crops/detected_object_33.jpg,False
data/dataset_crops/detected_object_34.jpg,False
data/dataset_crops/detected_object_35.jpg,False
data/dataset_crops/detected_object_36.jpg,False
data/dataset_crops/detected_object_37.jpg,False
data/dataset_crops/detected_object_38.jpg,False
data/dataset_crops/detected_object_39.jpg,False
data/dataset_crops/detected_object_40.jpg,False
data/dataset_crops/detected_object_41.jpg,False
data/dataset_crops/detected_object_42.jpg,False
data/dataset_crops/detected_object_43.jpg,False
data/dataset_crops/detected_object_44.jpg,False
data/dataset_crops/detected_object_45.jpg,False
data/dataset_crops/detected_object_46.jpg,False
data/dataset_crops/detected_object_47.jpg,False
data/dataset_crops/detected_object_48.jpg,False
data/dataset_crops/detected_object_49.jpg,False
data/dataset_crops/detected_object_50.jpg,False
data/dataset_crops/detected_object_51.jpg,False
data/dataset_crops/detected_object_52.jpg,False
