plate_name,organism_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,major_axis_px,minor_axis_px,p_collembola,perimeter_px,length_um,width_um,volume_um3,eccentricity,solidity
K1_Fe2O3001 (1).jpg,8,1562,1878,84,52,1999,99.92690953225635,26.674413445954464,0.9999970197677612,222.20815280171308,99.92690953225635,26.674413445954464,37228.096847543704,0.9637133605456096,0.9199263690750115
K1_Fe2O3001 (1).jpg,9,1062,2171,152,76,6554,163.09305948495108,62.02390903921487,0.9970048069953918,405.88939366884495,163.09305948495108,62.02390903921487,328512.85624472774,0.924864146281163,0.8016144814090019
K1_Fe2O3001 (1).jpg,12,1991,1727,130,116,5555,166.79434927850258,51.83593037151585,0.9931113719940186,431.5462479183374,166.79434927850258,51.83593037151585,234661.45077126924,0.9504826917937064,0.7441393168117884
K1_Fe2O3001 (1).jpg,18,0,195,47,81,2633,78.73577283369718,46.354333757182076,0.9593789577484131,216.16652224137044,78.73577283369718,46.354333757182076,88583.20796239474,0.8083276958847174,0.982829413960433
K1_Fe2O3001 (1).jpg,19,2139,1917,102,141,4785,154.54581635837047,42.15518054548112,0.99983811378479,415.51681066681454,154.54581635837047,42.15518054548112,143799.63464216742,0.9620797897144239,0.7918252523581003
K1_Fe2O3001 (1).jpg,20,1801,1577,46,86,2372,94.5168749075538,34.1643273998539,0.9999960660934448,224.7523086789974,94.5168749075538,34.1643273998539,57763.53008163149,0.932386559652521,0.9154766499421073
K1_Fe2O3001 (1).jpg,21,1973,2135,46,79,2202,81.46043001376309,40.37117732789044,0.999930739402771,217.23759005323595,81.46043001376309,40.37117732789044,69516.54031705613,0.8685551704342198,0.8475750577367206
K1_Fe2O3001 (1).jpg,22,1156,2231,161,72,7596,164.8965101890638,64.20971528937994,0.9997871518135071,419.01933598375615,164.8965101890638,64.20971528937994,355968.5055097114,0.9210712761549598,0.8895655228949526
K1_Fe2O3001 (1).jpg,25,112,1093,42,23,774,43.55382905431128,22.916423362035886,0.9757221341133118,111.25483399593904,43.55382905431128,22.916423362035886,11976.18892189648,0.8503835932607556,0.9579207920792079
K1_Fe2O3001 (1).jpg,34,1896,1443,77,62,2231,97.55721281735643,29.419939081515892,0.996859073638916,219.4213562373095,97.55721281735643,29.419939081515892,44212.14082726097,0.9534453018820169,0.9554603854389722
K1_Fe2O3001 (1).jpg,40,1444,1832,72,50,2502,81.66270338013278,41.89161544091329,0.9961317777633667,220.40916292848974,81.66270338013278,41.89161544091329,75037.19504153047,0.8583984963058299,0.8603851444291609
K1_Fe2O3001 (1).jpg,42,1864,650,64,51,1533,78.20408212740836,25.26792762244318,0.9803856611251831,181.3797256769669,78.20408212740836,25.26792762244318,26143.71460165396,0.9463640054829086,0.9462962962962963
K1_Fe2O3001 (1).jpg,43,532,1184,88,81,3431,111.73243914717969,40.68355815045138,0.9908862113952637,264.7766952966369,111.73243914717969,40.68355815045138,96831.29941168232,0.9313536428422329,0.929810298102981
