filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,0,"{""name"":""rect"",""x"":1991,""y"":1319,""width"":54,""height"":135}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,1,"{""name"":""rect"",""x"":2884,""y"":1405,""width"":155,""height"":78}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,2,"{""name"":""rect"",""x"":2455,""y"":1652,""width"":111,""height"":118}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,3,"{""name"":""rect"",""x"":2473,""y"":1696,""width"":132,""height"":88}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,4,"{""name"":""rect"",""x"":2994,""y"":1588,""width"":181,""height"":88}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,5,"{""name"":""rect"",""x"":3315,""y"":1463,""width"":85,""height"":135}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,6,"{""name"":""rect"",""x"":3351,""y"":1822,""width"":168,""height"":67}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,7,"{""name"":""rect"",""x"":2933,""y"":1953,""width"":108,""height"":152}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,8,"{""name"":""rect"",""x"":3756,""y"":718,""width"":114,""height"":109}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
C1_1_Fe2O3002.jpg,9741662,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",598,9,"{""name"":""rect"",""x"":3335,""y"":2066,""width"":118,""height"":149}","{""name"":""not_defined"",""type"":""Collembole"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
